Subject,Company Name,Founded Year,Headquarters Address,Phone Number,Website URL,Email Address,CEO/President,Annual Revenue,Employee Count,Services Offered,Union Status,Logo Description,LinkedIn URL,Facebook URL,Twitter URL,Instagram URL,Key Projects,Certifications,Safety Record,Recent News,Organizing Notes,Research Confidence,Data Sources,Error
McKeon Concrete Services,"McKeon's Mobile Concrete, LLC",2018,"435 Portia St., South Amboy, NJ 08879 (Office); 125 Main St., South Amboy, NJ 08879 (Yard)",732-881-6826,https://www.mckeonsmobileconcrete.com/,"Not explicitly mentioned on the website, but there is a contact form.",Not explicitly mentioned on the website or in initial searches.,Not explicitly mentioned on the website or in initial searches.,Not explicitly mentioned on the website or in initial searches.,"Metered Mobile Mixer (mobile concrete plant on wheels), Bulk Concrete Delivery, In-House Pickup. Serves Central New Jersey (Middlesex, Somerset, Monmouth and Union counties, within a 40-mile radius of South Amboy).",Not found in public records or company website.,"Logo visible on the website header, appears to be a stylized 'M' with a concrete mixer truck in the background.",No direct company page found. A LinkedIn post by Michele Zolezi mentions 'McKeon Mobile Concrete': https://www.linkedin.com/posts/michele-zolezi-25356459_womeninconstruction-thankyou-opportunities-activity-6969002411470286848-47UW?trk=public_profile_like_view,https://www.facebook.com/PrintedPixel/videos/mckeons-materials-mckeons-mobile-concrete-enclosed-trailer-graphics/834242017089187/,No direct company page found.,https://www.instagram.com/mckeonsmobileconcrete/ (Login required to view content),"Not explicitly mentioned on the website, but there is a 'PROJECTS' section that might contain this information.",Not explicitly mentioned on the website or in initial searches.,"No specific records found for McKeon's Mobile Concrete, LLC.",Not explicitly mentioned on the website or in initial searches.,"Need to find more specific information on CEO/President, annual revenue, employee count, key projects, certifications, union status, safety record, and recent news. Also need to verify if the Facebook and LinkedIn links are official company pages or, find more direct ones. The Facebook link seems to be a video from a third-party company that wrapped a trailer for McKeon's Mobile Concrete, not their official page. The Instagram page requires login, which prevents direct access to content.",Medium,"https://www.mckeonsmobileconcrete.com/, https://www.njportal.com/dor/businessnamesearch/, https://www.facebook.com/PrintedPixel/videos/mckeons-materials-mckeons-mobile-concrete-enclosed-trailer-graphics/834242017089187/, https://www.instagram.com/mckeonsmobileconcrete/, https://www.linkedin.com/posts/michele-zolezi-25356459_womeninconstruction-thankyou-opportunities-activity-6969002411470286848-47UW?trk=public_profile_like_view",
Ward Pavements Inc,Ward Pavements Inc.,1914,"2673 Route 17M, PO Box 427, Goshen, NY 10924",(845) 294-8341,https://www.wardpavementsinc.com/,info@WardPavementsInc.com,James Leo and William Leo Jr. (owners). Bill Leo is a Vice President.,"$10 million to $11 million (according to a YouTube video from 2 years ago, other sources state <$5M)","14-35 employees (sources vary, ZoomInfo states 14, LinkedIn 11-50, YouTube video 35)","Asphalt paving services for municipalities, commercial businesses and industries, including designing, building, restoring and maintaining asphalt roads and parking lots. Also new construction, repairs and resurfacing, excavation and grading, and soil stabilization.",Not explicitly stated on their website or in search results. No public records of labor disputes or NLRB cases found for Ward Pavements Inc. This suggests they are likely non-union or have not had public labor issues.,"The company logo features the word ""WARD"" in a stylized, bold, yellow font within a black trapezoidal shape, with ""PAVEMENTS INC."" in smaller white letters below it, also within the black shape. The overall shape resembles a road sign or a shield.",https://www.linkedin.com/company/ward-pavements-inc,"https://www.facebook.com/groups/540548003377349/posts/1013088672789944/?locale=hi_IN (This appears to be a historical group post, not an official company page)",Not found,Not found,"Not explicitly detailed, but they specialize in asphalt paving for businesses, municipalities, and industries in the Hudson Valley NY and Northern New Jersey.","Member of Northeastern Subcontractors Association (NESCA), National Asphalt Pavement Association (NAPA), The Goshen Chamber of Commerce, Orange County Highway Superintendents Association.","No specific OSHA violations or safety incidents found for Ward Pavements Inc. The FMCSA SAFER system snapshot for USDOT Number: 1135758 shows no fatalities, injuries, or tow-aways in the last 24 months. This indicates a clean safety record in transportation, but does not cover all aspects of construction safety.","No recent news or developments specifically about Ward Pavements Inc. were found. Some general news about paving projects in New Jersey and other areas were found, but not directly related to the company.","Given the lack of information on union status and labor disputes, it is highly probable that Ward Pavements Inc. is a non-union contractor, making them a potential target for IUOE Local 825 organizing efforts. Further investigation into their specific projects in New Jersey and employee interactions would be beneficial.",Medium (due to discrepancies in employee count and revenue figures across sources and the lack of explicit information on union status and specific projects).,"https://www.wardpavementsinc.com/, https://www.wardpavementsinc.com/history/, https://www.wardpavementsinc.com/contact-4/, https://www.linkedin.com/company/ward-pavements-inc, https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1135758, https://www.zoominfo.com/c/ward-pavements-inc/374632107, https://www.salary.com/research/company/ward-pavements-inc/bookkeeper-salary?cjid=32640472, https://www.youtube.com/watch?v=2NTXvLkU3ww, https://www.facebook.com/groups/540548003377349/posts/1013088672789944/?locale=hi_IN",
Pro-Site Work-Paving Solutions,Pro-Site Work-Paving Solutions (Research covers Pro Site Work aka Paving Solutions and Paving Solutions),"Pro Site Work aka Paving Solutions (Monroe, NY): 2005; Paving Solutions (Toms River, NJ): Not available.","Pro Site Work aka Paving Solutions (Monroe, NY): 548 Route 17M, Monroe, NY 10950; Paving Solutions (Toms River, NJ): 1302 Shoal Road, Toms River, NJ 08755","Pro Site Work aka Paving Solutions (Monroe, NY): (845) 782-1775; Paving Solutions (Toms River, NJ): (732) 579-2399","Pro Site Work aka Paving Solutions (Monroe, NY): Not explicitly listed on CIS Leads; Paving Solutions (Toms River, NJ): Not available.","Pro Site Work aka Paving Solutions (Monroe, NY): Not explicitly listed, but an email icon is present on CIS Leads; Paving Solutions (Toms River, NJ): Not available.","Pro Site Work aka Paving Solutions (Monroe, NY): Joshua Reich (Owner); Paving Solutions (Toms River, NJ): Not available.","Pro Site Work aka Paving Solutions (Monroe, NY): $2.1M - $5M; Paving Solutions (Toms River, NJ): Not available.","Pro Site Work aka Paving Solutions (Monroe, NY): 9; Paving Solutions (Toms River, NJ): Not available.","Pro Site Work aka Paving Solutions (Monroe, NY): Paving Contractors, Sitework Contractors (specializing in paving, drainage, and site work); Paving Solutions (Toms River, NJ): Asphalt Paving Installation, Commercial Asphalt Paving Installation Service, Asphalt, Concrete, Paving.","Pro Site Work aka Paving Solutions (Monroe, NY): Can do Union Work. Can do Non-Union Work (according to CIS Leads); Paving Solutions (Toms River, NJ): Not found.",Not available.,"Pro Site Work aka Paving Solutions (Monroe, NY): Joshua Reich (President): https://www.linkedin.com/in/joshua-reich-693a0826, Christopher DeLo (Director of Logistics and Asset Allocation): https://www.linkedin.com/in/christopher-delo-093526263; Paving Solutions (Toms River, NJ): Not found.","Pro Site Work aka Paving Solutions (Monroe, NY): https://www.facebook.com/61576956767122 (Pro Site Work LLC - likely related); Paving Solutions (Toms River, NJ): Not found.",Not found for either entity.,Not found for either entity.,"Pro Site Work aka Paving Solutions (Monroe, NY): Complete site installation, roadway paving and rehabilitation, paving and surfacing; Paving Solutions (Toms River, NJ): Not specifically attributed to this entity in search results.","Paving Solutions (Toms River, NJ): Licensed (13VH12006300 - Home Improvement Business Contr, Home Improvement Contractor) - Active as of August 2025.","Pro Site Work aka Paving Solutions (Monroe, NY): A consent order was issued against Paving Solutions Inc. for alleged violations (CASE: 16-G-0521 - In the Matter of an Enforcement Proceeding. Against Paving Solutions Inc. for Alleged Violations, NY Public Service Commission, March 14, 2016). Further details on the nature of these violations would require accessing the full document. No specific OSHA violations found. Paving Solutions (Toms River, NJ): No specific information found.",No specific recent news found for either entity. Generic news about paving scams were found but not attributed to the target companies.,"Initial research indicates that 'Pro-Site Work-Paving Solutions' may refer to two related companies, 'Pro Site Work' and 'Paving Solutions', primarily based in Monroe, NY. A separate entity named 'Paving Solutions' is located in Toms River, NJ. Information has been gathered on both to provide a comprehensive profile, noting the distinction. No specific recent news articles directly related to either the NY-based Pro Site Work aka Paving Solutions or the NJ-based Paving Solutions were found. Generic news about paving scams should not be attributed to these companies without direct evidence.",Medium,"CIS Leads (cisleads.com), LinkedIn (linkedin.com), Angi (angi.com), BuildZoom (buildzoom.com), NY Public Service Commission (dps.ny.gov), localsyr.com, yahoo.com, nbcboston.com, wmtv15news.com, nbcboston.com, vermiliondaily.com, ctvnews.ca, newstalkkit.com, bbc.com",
D&L Paving,"D & L Paving Contractors, Inc.",1984,"675 Franklin Ave, Nutley, NJ 07110",(973) 667-7300,"http://www.dandlpavingcontractors.com (website appears to be down or inaccessible, at least, inaccessible during research attempts to an 'Upstream Error'.)","Not explicitly found, but CIS Leads provides an email link.","Joseph Matarazzo (President, Principal Owner)","Not provided. Received an SBA PPP loan for $150,000-$350,000 from Valley National Bank.",Not explicitly found.,"Asphalt paving, sealcoating, driveway repairs, road reconstruction, milling, drainage, striping, Petro-mat fabric, crack filling, asphalt repairs, belgian block curbing. Also Demolition Contractors, Excavating Contractors. Specializes in industrial, commercial & municipal projects.",Operates with both union and non-union labor. Explicitly states 'Can Do Union Work' and 'Can Do Non-Union Work'.,No specific company logo or branding information was found during the research.,Joseph Matarazzo (President/Owner) has two LinkedIn profiles: https://www.linkedin.com/in/joseph-matarazzo-b4469546 and https://www.linkedin.com/in/joe-matarazzo-a279316.,"Multiple Facebook pages exist for companies with similar names, but an official page for D&L Paving Contractors, Inc. of Nutley, NJ could not be definitively identified. Examples include: https://www.facebook.com/p/DL-paving-specialists-100063651214720/ and https://www.facebook.com/p/D-L-Asphalt-Paving-Services-61559578323963/.",Not found.,Not found.,"Numerous municipal road resurfacing and paving projects in New Jersey townships including Clifton (2025 Road Resurfacing Program), Montville (Meadows at Montville Phase II Resurfacing Project), Paterson (12th Avenue basketball court resurfacing), Nutley (2024 CDBG Prospect Street Intersection Improvements, Coeyman Avenue Road Construction, Vreeland Avenue Paving), and Oakland.","SBE (Small Business Enterprise). Earned the ""Award of Excellence"" from the Rutgers Paving Conference and The New Jersey Asphalt Pavement Association.","OSHA violation (ID 1148771.015) on 05/16/2016 in NJ, involving an employee's leg caught between equipment during asphalt work. This indicates a serious safety incident.","Awarded contract for the first phase of the 2025 Road Resurfacing Program in Clifton, NJ (September 2025); Work performed for the Meadows at Montville Phase II Resurfacing Project accepted by the Township of Montville (May 2025); Received a $113,750 contract for resurfacing and improvements to the 12th Avenue basketball court in Paterson, NJ (December 2024); Involved in 2024 CDBG Prospect Street Intersection Improvements in Nutley, NJ (March 2025); Contractor for Coeyman Avenue Road Construction in Nutley, NJ, upgrading curbs, sidewalks, and driveway aprons (April 2025); Awarded contract for Vreeland Avenue Paving in Nutley, NJ (May 2024).","D&L Paving Contractors, Inc. operates with both union and non-union labor, indicating a potential for organizing efforts. The company has a documented OSHA violation from 2016 and a labor standards lawsuit from 2022, which could be relevant for labor organizing campaigns. Their involvement in numerous municipal projects suggests a stable presence in the New Jersey construction market. The lack of a clear official website and social media presence (beyond LinkedIn profiles for individuals) might make direct digital outreach challenging.",Medium,"The Blue Book, CIS Leads, OSHA.gov, Justia Dockets, LinkedIn, various municipal news releases and government websites (Clifton, Montville, Paterson, Nutley, Oakland).",
Insituform Technologies LLC,Insituform Technologies LLC,1971,"17988 Edison Ave, Chesterfield, MO 63005, United States","(636) 530-8000, (800) 234-2992",https://www.azuria.com/insituform,"jbrown@insituform.com, acosta@azuria.com","Rob Tullman (President & Chief Executive Officer of Azuria Water Solutions, parent company)","Estimated $500 million to $1 billion (range based on various sources like Growjo, Zippia, RocketReach, Glassdoor)","1,001-5,000 employees (LinkedIn, Glassdoor), 3,280 employees (Zippia)","Cured-in-place pipe (CIPP) solutions, pipeline renewal for water and wastewater pipelines, trenchless technology. Less disruptive and more efficient pipeline rehabilitation.","Mixed. Some sites are non-union (e.g., Olyphant, PA; Greeley, CO), while workers at the Newark, Delaware location voted to form a union with Operating Engineers Local 542. Multiple open NLRB cases with IUOE Local 542.","Typically blue and green, often featuring a stylized pipe or circular element, reflecting its focus on pipeline solutions. Current branding is under Azuria Water Solutions, so the logo may incorporate Azuria branding.",https://www.linkedin.com/company/insituform-technologies,https://www.facebook.com/insituformcipp/,https://x.com/insituform,Not readily available in search results.,"Numerous government contracts with various municipalities and public entities for pipeline rehabilitation projects (e.g., Simi Valley, Santa Fe, El Paso Water, Orange County Government, City of Bradenton, City of Dubuque). Services municipal, industrial, DOT, military, airports, fire protection sectors.",ISO certified manufacturing and wetout facilities,"OSHA inspection details available (e.g., 943750.015, 1107489.015). Violation Tracker by Good Jobs First shows a penalty of $6,800 in 2015. Specific details of violations would require deeper investigation into each OSHA record.",Rebranded under Azuria Water Solutions; ongoing unionization efforts and NLRB cases with IUOE Local 542 at some locations.,"Insituform Technologies LLC is a significant player in the pipeline rehabilitation industry with a global presence. Their mixed union status (some non-union sites, some unionized with IUOE Local 542) and ongoing NLRB cases indicate active labor relations. This presents both challenges and opportunities for IUOE Local 825 organizing efforts. The company's extensive government contracts and bonding capacity suggest a stable business, making them a valuable target for unionization. Focus on sites with existing union activity or those in New Jersey for potential organizing campaigns. Further investigation into specific OSHA violations and worker compensation claims could provide additional leverage.",High,"azuria.com, wikipedia.org, bloomberg.com, zippia.com, sec.gov, indianaconstructors.org, dnb.com, linkedin.com, mrwa.com, thebluebook.com, osha.gov, nlrb.gov, violationtracker.goodjobsfirst.org, facebook.com, x.com, growjo.com, rocketreach.co, omniapartners.com, highergov.com, simivalley.granicus.com, santafenm.gov, epwater.org, occompt.legistar.com, cityofbradenton.com, weblink.cityofdubuque.org, law.justia.com, laborunionnews.substack.com, glassdoor.com, marketresearchfuture.com, encyclopedia.com",
En-Tech Infrastructure LLC,En-Tech Infrastructure LLC,2022 (as En-Tech Infrastructure LLC),91 Ruckman Rd Closter NJ 07624,(201)784-1034,https://en-techcorp.com/,genocamali@en-techcorp.com,Regan McCook (Founder & CEO of EN-TECH Corp.),Not Available,Not Available,"Cured-in-place pipe (CIPP) lining services, sewer rehabilitation, concrete restoration, inspection, Gunite & Concrete (Bridges, Sewers, Tunnels, Dams, Slope stabilization, Manhole lining, Culverts), Sewer Maintenance (Cleaning, CCTV/Infrastructure inspection, Catch basin cleaning), Pipe Rehabilitation (CIPP, Lateral lining, Joint testing and sealing, Manhole sealing).",,"The logo features the text ""EN-TECH CORP"" in a bold, sans-serif font, with horizontal lines extending to the left from the ""EN"" part, suggesting speed or infrastructure. The colors appear to be red and dark blue/black.",,,,,"EnTech Green Infrastructure Project with NHSA (bioswales in Weehawken and West New York, NJ); Cured-in-Place Pipe (CIPP) Lining Services across Northeast (NY and NJ).",WBE-certified (through related entity EnTech Engineering; direct certification for En-Tech Infrastructure LLC needs further confirmation),No OSHA records found for En-Tech Infrastructure LLC in New Jersey.,"Aegion Corporation acquired EN-TECH Corporation's CIPP Lining Division in June 2022, forming En-Tech Infrastructure LLC. Aegion acquired 11 Enviro Group in October 2023, which now operates as part of EN-TECH Infrastructure.","En-Tech Infrastructure LLC is the CIPP lining division of EN-TECH Corp., acquired by Aegion Corporation in 2022. They operate in New York and New Jersey, specializing in CIPP services. Recent acquisitions indicate growth. No specific employee count or annual revenue for En-Tech Infrastructure LLC was found, making financial assessment difficult. No OSHA violations were found in New Jersey. Further investigation into their union status and specific project details would be beneficial for organizing efforts.",Medium,,
Azuria Water Solutions,Azuria Water Solutions,Insituform (founding brand) established in 1971. Azuria formed as a holding company in 2011.,"580 Goddard Avenue, Chesterfield, MO 63005, United States",1 636 5308000,https://www.azuria.com/,"acosta@azuria.com, joneill@azuria.com, mnefzger@aegion.com, sgarcia@aegion.com (functional emails, no general contact email explicitly stated)",Rob Tullman (President & CEO),"$2.1 Billion (from Zoominfo, needs verification)","More than 2,300 people globally (from Azuria website), 1,001-5,000 employees (from LinkedIn)","Trenchless rehabilitation solutions for wastewater, stormwater, and potable water pipelines. Products and services range from design to installation, maintenance, and remediation. Specializations include cured-in-place pipe (CIPP) solutions, cathodic protection, and pipe bursting. Markets served include municipal, industrial, aviation, transportation, and Department of Defense.","Mixed (union and non-union depending on location/subsidiary). Insituform Technologies USA, Inc. (an Azuria brand) advertises union positions.","Not explicitly found in research, but the website logo is a blue and white circular design with the company name.",https://www.linkedin.com/company/azuria-water-solutions,https://www.facebook.com/AzuriaWaterSolutions/,"https://twitter.com/search?q=%22Azuria%20Water%20Solutions%22 (search result, not direct profile)","https://www.instagram.com/p/DK6EJQbRJYy/ (specific post, not direct profile)","Sewer main rehabilitation project in Basking Ridge, New Jersey (2022) by Insituform Technologies. Involvement in government contracts through cooperative purchasing programs (e.g., Purchasing Cooperative of America, COSTARS contract for Pennsylvania).","NSF/ANSI Standard 61 (for InsituMain® CIPP system), AMPP / NACE CP Tester or Technician Certification (preferred for Construction Technician roles), Certified Traffic Control Supervisor (for relevant roles).","Azuria adheres to safety standards and reports incidents to OSHA & BLS. Past OSHA violations exist for Aegion Corporation (e.g., a 2016 violation with $0.00 penalty). The company's 2023 sustainability report highlights safety achievements in some locations (e.g., Bessemer, AL: 7 years without an OSHA recordable injury).","Azuria Water Solutions and Inframark announced intention to combine businesses by end of 2025 or early 2026. Azuria has recently acquired several companies (TSW Utility Solutions Inc., AM-Liner East Inc., C.K. Masonry Company Inc., BLD Services, LLC, Guildner Pipeline Maintenance, Inc.) to expand its water infrastructure capabilities.","Azuria Water Solutions is a significant player in water infrastructure rehabilitation, with a global presence and over 2,300 employees. Their subsidiary, Insituform Technologies, has undertaken projects in New Jersey. The company's union status appears mixed, with some subsidiaries advertising union positions, which could be a point of leverage for organizing efforts. Financial data indicates a large, privately held company with substantial funding and revenue. Focus on identifying specific non-union operations within New Jersey and their involvement in local government contracts. Further investigation into specific project sites and local labor practices would be beneficial.",High,"azuria.com, linkedin.com, globaldata.com, bloomberg.com, zoominfo.com, craft.co, cbinsights.com, pitchbook.com, yahoo.com, waterfm.com, indeed.com, osha.gov, facebook.com, twitter.com, instagram.com, trenchlesstechnology.com, globenewswire.com, newjerseybusinessjournal.com, krqe.com, bluefieldresearch.com, privateequitywire.co.uk, globaltrenchlessnews.com, natlawreview.com, patch.com, ecode360.com",
Hydrovac,"Hydrovac Excavating, Inc.",2003,"84 Ridge Rd. PO Box 398 Montgomery, NY 12549",845-742-1710,https://hydrovacinc.com/,info@hydrovacinc.com,Ira Conklin III (Owner),"Estimated between $1.0 million and $10.2 million (conflicting sources, likely closer to $1-5M based on multiple sources).","Approximately 16 drivers (based on USDOT data), other sources indicate 1-6 employees.","Non-destructive vacuum excavation, interior & remote access excavation, catch basin cleaning & directional boring support, municipal & utility-focused services.","Non-union (assumed, as no explicit union affiliation found and is a target for organizing)","The logo features a stylized downward-pointing arrow with a water droplet shape inside, surrounded by a gear-like or industrial design element. The words 'HYDROVAC EXCAVATING Inc.' are positioned below it.",,https://www.facebook.com/HydrovacExcavatingInc/,Not found,https://www.instagram.com/hydrovac_excavating_inc/,"No specific major clients or projects are publicly listed. One source indicates they are a federal contractor, but specific contract details are not available.","Fully certified and insured (as per their website). OSHA-certified 2-person crews. Specific industry certifications (e.g., Gold Shovel Standard) not explicitly stated.",,"A Facebook post from the company (undated, but within the last year) mentions news coverage of Hydrovac Excavating Inc. handling a gas leak in Orange County, highlighting their fast, precise, and no-delay service.","Hydrovac Excavating, Inc. is a family-owned, non-union company operating in the Tri-State area (NY, NJ, PA) with a focus on non-destructive hydro excavation. Their emphasis on safety (zero-strike record, OSHA-certified crews) and 24/7 emergency response could be leveraged in organizing discussions. The company's 'dig-safe exemption' under NYS Code Rule 753 highlights a potential regulatory advantage. Key personnel include Ira Conklin III (Owner), Cait Conklin Hogan (VP), and Ira Conklin IV (Operations Manager). Their federal contractor status, though lacking specific project details, could indicate larger project involvement. The company's social media presence could be a source for employee engagement and sentiment analysis. The discrepancy in reported employee count and revenue suggests they might be a smaller operation, which could influence organizing strategies.",Medium,"https://hydrovacinc.com/, https://www.dnb.com/business-directory/company-profiles.hydrovac_excavating_inc.099112e99930de519b19e2ceff261b1f.html, https://www.zoominfo.com/c/hydrovac-inc/89737494, https://www.buzzfile.com/business/Hydrovac-Excavating-Inc.-518-752-8172, https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1292030, https://www.cleat.ai/free-govcon-tools/contractor-search/te_d4d07fae-c1a5-4ef6-9288-2ac136de9ca2, https://www.facebook.com/HydrovacExcavatingInc/",
Precision Pipeline Solutions,"Precision Pipeline Solutions, LLC (PPS)",2002,"617 Little Britain Rd, Suite 200, New Windsor, NY 12553",845-566-8332,https://precisionpipelinesolutions.com/,info@precisionpipelinesolutions.com,"Jon Selander (Founder and former CEO/President of PPS, currently CEO of PrimeLine Utility Services, parent company). Key Executives: Eric Gerstel (Executive Vice President).",Ranges from $25.8M to $750M across different sources. This discrepancy needs further investigation for a more precise figure.,"Approximately 300-600 (various sources indicate 267, 337, and 628 employees).","Natural gas and electric utility contractor. Delivers cost-effective consultation, inspection, construction, operations and maintenance services. Specialities include Construction Services, Gas Technical Services, Oil to Gas Conversions, Meter Exchange Services, Electric Services, Survey & Inspection Services.",Unionized. Workers voted to join the Utility Workers Union of America (UWUA) in April 2024.,"A logo with the letters 'PPS' stylized, next to the words 'Precision Pipeline Solutions'.",https://www.linkedin.com/company/precision-pipeline-solutions,https://www.facebook.com/precisionpipelinesolutions/,Not found.,Not found.,Clients include several of the largest Northeast utilities. No specific project names are publicly available.,Not explicitly detailed in public search results.,"No specific OSHA violations found in this search. One lawsuit related to worker injury (Jeanty v. Precision Pipeline Solutions LLC et al, No. 7:2018cv07721).",Workers voted to join the Utility Workers Union of America (UWUA) in April 2024.,"The task specifies New Jersey construction companies, but this company is located in New Windsor, NY. This should be noted for IUOE Local 825 organizing efforts. The company is a subsidiary of PrimeLine Utility Services. It is crucial to differentiate Precision Pipeline Solutions, LLC from Precision Pipeline, LLC, as they are distinct entities with different ownership histories. The former is the target company for this research.",Medium,"https://primelineus.com/43-2/156-2/, https://precisionpipelinesolutions.com/, https://www.bloomberg.com/profile/person/17884970, https://www.zippia.com/precision-pipeline-solutions-careers-35329/executives/, https://www.facebook.com/100063345001129/posts/meet-the-president-of-our-parent-company-primeline-utility-services/290093983112100/, https://www.crunchbase.com/person/jon-selander, https://www.sentinelpartners.com/sentinel-and-management-invest-in-precision-pipeline-solutions/, https://www.zoominfo.com/p/Jon-Selander/1044575707, https://rocketreach.co/precision-pipeline-solutions-management_b5dfc42af42e4946, https://growjo.com/company/Precision_Pipeline_Solutions, https://www.zippia.com/precision-pipeline-solutions-careers-35329/revenue/, https://www.konaequity.com/company/precision-pipeline-solutions-llc-4397987288/, https://rocketreach.co/precision-pipeline-solutions-profile_b5dfc42af42e4946, https://leadiq.com/c/precision-pipeline-solutions/5a1d98952300005b00874127, https://www.linkedin.com/company/precision-pipeline-solutions, https://www.facebook.com/precisionpipelinesolutions/, https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1478864&original_query_string=PRECISION%20PIPELINE%20SOLUTIONS%20LLC, https://www.usaspending.gov/recipient/31af9f5a-6a5b-29ac-c6e7-b8e37dc089af-C/latest, https://pitchbook.com/profiles/company/13112-29, https://www.bbb.org/us/ny/new-windsor/profile/natural-gas-companies/precision-pipeline-solutions-llc-0121-145310, https://eintaxid.com/company/113669429-precision-pipeline-solutions-llc/, https://capeq.com/experience/precision-pipeline-solutions-acquired-by-sentinel-capital-partners/, https://www.nlrb.gov/case/02-CA-344600, https://uwua.net/2024/04/gas-contractor-precision-pipeline-solutions-workers-vote-yes-to-join-uwua/, https://www.nlrb.gov/case/02-RC-338430, https://www.indeed.com/cmp/Precision-Pipeline-Solutions/faq/is-this-a-union-organized-company?quid=1eulifi2ru3ht800, https://law.justia.com/cases/federal/district-courts/new-york/nysdce/7:2018cv07721/499849/78/, https://violationtracker.goodjobsfirst.org/?offense_group_sum=employment-related%20offenses&page=736, https://www.nlrb.gov/reports/graphs-data/recent-election-results?items_per_page=20&sort_by=unit_id&sort_order=ASC&page=144, https://www.highergov.com/awardee/precision-pipeline-solutions-llc-10043753/, https://www.dnb.com/business-directory/company-profiles.precision_pipeline_solutions_llc.44b532168d80e47c81e5846a9ac5ed60.html, https://www.sentinelpartners.com/company/precision-pipeline-solutions/",
A-Tech Services,A-TECH LANDSCAPE DESIGN INC.,1997,"1910 Roosevelt Ave, South Plainfield, NJ 07080-1443",(908) 413-4151,https://atechsrv.com/,pb@a-techsrv.com,"Jon Dean (President, Owner)","<$5 Million (Zoominfo), $79,000 (Manta - likely unreliable). The Instagram post suggests a larger operation, making these figures questionable.","Approximately 60 (based on company's Instagram post, official records show 1-4)","Commercial landscape construction, site work, hydroseeding, curbing/sidewalk, retaining wall systems, hardscapes, fences, planting, granite block curbing, concrete flatwork, soil erosion control, snow services, landscape maintenance.",Not explicitly found (likely non-union),The company logo features 'A-Tech' in a stylized red font with a green tree graphic to the right.,,https://www.facebook.com/100056867635728 (A-Tech Civil Service - likely related),Not found,https://www.instagram.com/atech_landscape_design/,The Grande at Metropark - 3 Ronson Road. A-Tech Concrete Company (likely related) was awarded a park construction contract by the City of New Brunswick.,Home Improvement Business Contractor license and 2 other licenses. Certified installers for Techo-Bloc and Cambridge.,"OSHA Activity Nr. 1605740.015 (07/01/2022, Referral, Partial, NAICS 238110). OSHA Activity Nr. 1255657.015 (08/17/2017, Planned, No Insp/Not Found, NAICS 493110).","Ongoing projects (Instagram posts), sponsorship of 2025 NJAA Conference & Expo, involvement in South Plainfield Zoning Board case (Feb 2023), negative Yelp review regarding chemical spraying.","Significant discrepancy in reported employee count and revenue, with company's social media suggesting a much larger operation (60 employees) than official business directories (1-4 employees, <$5M revenue). This discrepancy is a key point for organizing efforts. The company is well-established since 1997. OSHA records show two activities, one a 'Referral, Partial' in 2022. A negative Yelp review regarding chemical spraying raises potential safety concerns. The company's involvement in local zoning cases and industry sponsorships indicates active operations and community presence. The relationship between 'A-Tech Landscape Design Inc.', 'A-Tech Concrete Company', and 'A-Tech Civil Service' appears to be closely linked, suggesting a broader operational scope under the 'A-Tech Services' umbrella.",Medium-High,"https://atechsrv.com/, https://www.thebluebook.com/iProView/1704901/a-tech-landscape-design/subcontractors/, https://www.linkedin.com/in/jon-dean-577b7ab3, https://www.instagram.com/atech_landscape_design/, https://www.zoominfo.com/c/a-tech-landscape-design/559494309, https://www.manta.com/c/mmyjs5g/a-tech-landscape-design, https://safer.fmcsa.dot.gov/query.asp?query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2918544, https://www.osha.gov/ords/imis/industry.search?sic=&naics=&state=NJ&officetype=&office=&startmonth=03&startday=07&startyear=2017&endmonth=&endday=07&endyear=&scope=&fedagncode=&owner=&p_start=18540&p_finish=18560&p_sort=estab_name&p_desc=DESC&p_direction=Prev&p_show=20, https://www.osha.gov/ords/imis/industry.search?sic=&naics=&state=NJ&officetype=All&office=All&startmonth=05&startday=08&startyear=2010&endmonth=&endday=08&endyear=&scope=&fedagncode=&owner=&p_start=&p_finish=960&p_sort=reporting_id&p_desc=ASC&p_direction=Next&p_show=20, https://brokersnapshot.com/Company?dot=2918544, https://www.southplainfieldnj.com/spnj/Departments/Boards/Zoning%20Board/Archives/2023%20Archives/2023%20Minutes/February%207%2C%202023.pdf?1731930217, https://www.yelp.com/biz/a-tech-landscape-design-south-plainfield, https://www.njaa.com/supplier-members/a-tech-landscape-design-inc",
